,country,province,region_1,name,location,latitude,longitude
1267,France,Burgundy,Hautes Côtes de Nuits,"Hautes Côtes de Nuits, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
1268,France,Burgundy,Côte de Beaune-Villages,"Côte de Beaune-Villages, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
1269,France,Burgundy,Bourgogne Côtes d’Auxerre,"Bourgogne Côtes d’Auxerre, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
1270,France,Burgundy,Hautes Cotes de Beaune,"Hautes Cotes de Beaune, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
1271,Italy,Veneto,Prosecco di Valdobbiadene,"Veneto, Prosecco di Valdobbiadene, Italy","VEN, Italia",45.6476663,11.8665254
1272,Italy,Veneto,Prosecco di Conegliano,"Veneto, Prosecco di Conegliano, Italy","VEN, Italia",45.6476663,11.8665254
1273,Italy,Veneto,Bianco di Custoza,"Veneto, Bianco di Custoza, Italy","VEN, Italia",45.6476663,11.8665254
1274,Italy,Veneto,Prosecco di Conegliano e Valdobbiadene,"Veneto, Italy, Prosecco di Conegliano e Valdobbiadene","VEN, Italia",45.6476663,11.8665254
1275,Italy,Veneto,Prosecco del Veneto,"Veneto, Prosecco del Veneto, Italy","VEN, Italia",45.6476663,11.8665254
1276,Italy,Veneto,Amarone della Valpolicella,"Veneto, Amarone della Valpolicella, Italy","VEN, Italia",45.6476663,11.8665254
1277,Italy,Veneto,Soave Classico,"Veneto, Italy, Soave Classico","VEN, Italia",45.6476663,11.8665254
1278,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,"Veneto, Conegliano Valdobbiadene Prosecco Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1279,Italy,Veneto,Gambellara Classico,"Veneto, Gambellara Classico, Italy","VEN, Italia",45.6476663,11.8665254
1280,Italy,Veneto,Amarone della Valpolicella Classico,"Veneto, Italy, Amarone della Valpolicella Classico","VEN, Italia",45.6476663,11.8665254
1281,Italy,Veneto,Bardolino Chiaretto,"Veneto, Bardolino Chiaretto, Italy","VEN, Italia",45.6476663,11.8665254
1282,Italy,Veneto,Recioto di Soave,"Veneto, Recioto di Soave, Italy","VEN, Italia",45.6476663,11.8665254
1283,Italy,Veneto,Valpolicella Classico Superiore Ripasso,"Veneto, Valpolicella Classico Superiore Ripasso, Italy","VEN, Italia",45.6476663,11.8665254
1284,Italy,Veneto,Valdobbiadene Prosecco Superiore,"Veneto, Valdobbiadene Prosecco Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1285,Italy,Veneto,Recioto della Valpolicella Classico,"Veneto, Recioto della Valpolicella Classico, Italy","VEN, Italia",45.6476663,11.8665254
1286,Italy,Veneto,Valpolicella Superiore Ripasso,"Veneto, Valpolicella Superiore Ripasso, Italy","VEN, Italia",45.6476663,11.8665254
1287,Italy,Veneto,Valpolicella Classico Superiore,"Veneto, Valpolicella Classico Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1288,Italy,Veneto,Valpolicella Ripasso,"Veneto, Valpolicella Ripasso, Italy","VEN, Italia",45.6476663,11.8665254
1289,Italy,Veneto,Valpolicella Superiore,"Veneto, Valpolicella Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1290,Italy,Veneto,Bardolino Classico,"Veneto, Bardolino Classico, Italy","VEN, Italia",45.6476663,11.8665254
1291,Italy,Veneto,Valpolicella Classico,"Veneto, Valpolicella Classico, Italy","VEN, Italia",45.6476663,11.8665254
1292,Italy,Veneto,Lessini Durello,"Veneto, Lessini Durello, Italy","VEN, Italia",45.6476663,11.8665254
1293,Italy,Veneto,Prosecco Treviso,"Veneto, Italy, Prosecco Treviso","VEN, Italia",45.6476663,11.8665254
1294,Italy,Veneto,Valdobbiadene Superiore di Cartizze,"Veneto, Italy, Valdobbiadene Superiore di Cartizze","VEN, Italia",45.6476663,11.8665254
1295,Italy,Veneto,Soave Colli Scaligeri,"Veneto, Soave Colli Scaligeri, Italy","VEN, Italia",45.6476663,11.8665254
1296,Italy,Veneto,Valpolicella Ripasso Classico,"Veneto, Italy, Valpolicella Ripasso Classico","VEN, Italia",45.6476663,11.8665254
1297,Italy,Veneto,Recioto di Soave Classico,"Veneto, Recioto di Soave Classico, Italy","VEN, Italia",45.6476663,11.8665254
1298,Italy,Veneto,Soave Classico Superiore,"Veneto, Soave Classico Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1299,Italy,Veneto,Marca Trevigiana,"Veneto, Marca Trevigiana, Italy","VEN, Italia",45.6476663,11.8665254
1300,Italy,Veneto,Colli di Conegliano,"Veneto, Colli di Conegliano, Italy","VEN, Italia",45.6476663,11.8665254
1301,Italy,Veneto,Amarone della Valpolicella Valpantena,"Veneto, Amarone della Valpolicella Valpantena, Italy","VEN, Italia",45.6476663,11.8665254
1302,Italy,Veneto,Asolo Prosecco Superiore,"Veneto, Asolo Prosecco Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1303,Italy,Veneto,Recioto della Valpolicella,"Veneto, Recioto della Valpolicella, Italy","VEN, Italia",45.6476663,11.8665254
1304,Italy,Veneto,Prosecco Superiore di Cartizze,"Veneto, Prosecco Superiore di Cartizze, Italy","VEN, Italia",45.6476663,11.8665254
1305,Italy,Veneto,Valpolicella Valpantena,"Veneto, Valpolicella Valpantena, Italy","VEN, Italia",45.6476663,11.8665254
1306,Italy,Veneto,Lison-Pramaggiore,"Veneto, Lison-Pramaggiore, Italy","VEN, Italia",45.6476663,11.8665254
1307,Italy,Veneto,Valpolicella Ripasso Valpantena,"Veneto, Valpolicella Ripasso Valpantena, Italy","VEN, Italia",45.6476663,11.8665254
1308,Italy,Veneto,Bardolino Classico Superiore,"Veneto, Bardolino Classico Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1309,Italy,Veneto,Valpolicella Ripasso Valpantena Superiore,"Veneto, Valpolicella Ripasso Valpantena Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1310,Italy,Veneto,Prosecco di Valdobbiadene Superiore,"Veneto, Prosecco di Valdobbiadene Superiore, Italy","VEN, Italia",45.6476663,11.8665254
1311,Italy,Veneto,Montello e Colli Asolani,"Veneto, Montello e Colli Asolani, Italy","VEN, Italia",45.6476663,11.8665254
1312,Italy,Veneto,Bardolino Superiore,"Veneto, Italy, Bardolino Superiore","VEN, Italia",45.6476663,11.8665254
1313,France,Provence,Coteaux Varois en Provence,"Provence, Coteaux Varois en Provence, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1314,France,Provence,Coteaux d'Aix-en-Provence,"Coteaux d'Aix-en-Provence, Provence, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1315,France,Provence,Côtes de Provence Sainte-Victoire,"Côtes de Provence Sainte-Victoire, Provence, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1316,France,Provence,Coteaux Varois,"Provence, Coteaux Varois, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1317,France,Provence,Côtes de Provence La Londe,"Provence, Côtes de Provence La Londe, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1318,France,Provence,Vin de Pays des Maures,"Vin de Pays des Maures, Provence, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1319,France,Provence,Coteaux de Verdon,"Provence, Coteaux de Verdon, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1320,France,Provence,Vin de Pays Var,"Vin de Pays Var, Provence, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1321,France,Provence,Vin de Pays des Alpilles,"Provence, Vin de Pays des Alpilles, France","La Provence, Rue du Marché, Les Crottes, Marseille 15e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13015, France",43.3207966,5.3684229142723705
1322,US,Washington,Walla Walla Valley (WA),"US, Washington, Walla Walla Valley (WA)","Washington, D.C., USA",38.8950092,-77.0365625
1323,US,Washington,Horse Heaven Hills,"US, Horse Heaven Hills, Washington","Washington, D.C., USA",38.8950092,-77.0365625
1324,US,Washington,Columbia Gorge (WA),"US, Washington, Columbia Gorge (WA)","Washington, D.C., USA",38.8950092,-77.0365625
1325,US,Washington,Columbia Valley-Walla Walla Valley,"US, Washington, Columbia Valley-Walla Walla Valley","Washington, D.C., USA",38.8950092,-77.0365625
1326,US,New York,North Fork of Long Island,"US, New York, North Fork of Long Island","NYC, New York, USA",40.7127281,-74.0060152
1327,US,New York,Hudson River Region,"US, Hudson River Region, New York","NYC, New York, USA",40.7127281,-74.0060152
1328,US,New York,"The Hamptons, Long Island","US, The Hamptons, Long Island, New York","NYC, New York, USA",40.7127281,-74.0060152
1329,France,Loire Valley,Muscadet Sèvre et Maine,"Muscadet Sèvre et Maine, Loire Valley, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1330,France,Loire Valley,Pouilly-Fumé,"Loire Valley, Pouilly-Fumé, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1331,France,Loire Valley,Muscadet Côtes de Grandlieu,"Loire Valley, Muscadet Côtes de Grandlieu, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1332,France,Loire Valley,Anjou Villages Brissac,"Loire Valley, Anjou Villages Brissac, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1333,France,Loire Valley,Quarts de Chaume,"Loire Valley, Quarts de Chaume, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1334,France,Loire Valley,Vin de Pays du Val de Loire,"Vin de Pays du Val de Loire, Loire Valley, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1335,France,Loire Valley,Coteaux du Layon Chaume,"Loire Valley, Coteaux du Layon Chaume, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1336,France,Loire Valley,Anjou Villages,"Loire Valley, Anjou Villages, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1337,France,Loire Valley,Cabernet de Saumur,"Loire Valley, Cabernet de Saumur, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1338,France,Loire Valley,Coteaux du Vendômois,"Loire Valley, Coteaux du Vendômois, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1339,France,Loire Valley,Muscadet Sèvre et Maine Clisson,"Muscadet Sèvre et Maine Clisson, Loire Valley, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1340,France,Loire Valley,Vin de Pays du Jardin de la France,"Loire Valley, Vin de Pays du Jardin de la France, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1341,France,Loire Valley,Muscadet Coteaux de la Loire,"Loire Valley, Muscadet Coteaux de la Loire, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1342,France,Loire Valley,Crémant de Loire,"Loire Valley, Crémant de Loire, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1343,France,Loire Valley,Coteaux du Layon Beaulieu,"Loire Valley, Coteaux du Layon Beaulieu, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1344,France,Loire Valley,Cabernet d'Anjou,"Cabernet d'Anjou, Loire Valley, France","Loire, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75385355,4.0454736825511
1345,France,Rhône Valley,Côtes du Rhône Villages,"Rhône Valley, Côtes du Rhône Villages, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1346,France,Rhône Valley,Vin de Pays des Cévennes,"Vin de Pays des Cévennes, Rhône Valley, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1347,France,Rhône Valley,Collines Rhôdaniennes,"Rhône Valley, Collines Rhôdaniennes, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1348,France,Rhône Valley,Côtes-du-Ventoux,"Rhône Valley, Côtes-du-Ventoux, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1349,France,Rhône Valley,Muscat de Beaumes de Venise,"Rhône Valley, Muscat de Beaumes de Venise, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1350,France,Rhône Valley,Vin de Pays du Gard,"Rhône Valley, Vin de Pays du Gard, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1351,France,Rhône Valley,Clairette de Bellegarde,"Rhône Valley, Clairette de Bellegarde, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1352,France,Rhône Valley,Côtes du Luberon,"Rhône Valley, Côtes du Luberon, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1353,France,Rhône Valley,Vin de Pays de Vaucluse,"Vin de Pays de Vaucluse, Rhône Valley, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1354,France,Rhône Valley,Vin Doux Naturel Rasteau,"Rhône Valley, Vin Doux Naturel Rasteau, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
1355,Argentina,Mendoza Province,Valle de Uco,"Mendoza Province, Valle de Uco, Argentina","Cuesta del Chihuido, Distrito Ciudad de Malargüe, Departamento Malargüe, Mza., Argentina",-35.7492249,-69.58026459999999
1356,France,Bordeaux,Blaye Côtes de Bordeaux,"Bordeaux, Blaye Côtes de Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1357,France,Bordeaux,Pessac-Léognan,"Bordeaux, Pessac-Léognan, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1358,France,Bordeaux,Cadillac Côtes de Bordeaux,"Bordeaux, Cadillac Côtes de Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1359,France,Bordeaux,Saint-Georges-Saint-Émilion,"Saint-Georges-Saint-Émilion, Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1360,France,Bordeaux,Castillon Côtes de Bordeaux,"Bordeaux, Castillon Côtes de Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1361,France,Bordeaux,Francs Côtes de Bordeaux,"Bordeaux, Francs Côtes de Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1362,France,Bordeaux,Puisseguin Saint-Émilion,"Puisseguin Saint-Émilion, Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1363,France,Bordeaux,Bordeaux Côtes de Francs ,"Bordeaux, Bordeaux Côtes de Francs , France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1364,France,Bordeaux,Premieres Côtes de Blaye,"Bordeaux, Premieres Côtes de Blaye, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1365,France,Bordeaux,Crémant de Bordeaux,"Crémant de Bordeaux, Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1366,France,Bordeaux,Bordeaux Clairet,"Bordeaux, Bordeaux Clairet, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1367,France,Bordeaux,Premieres Côtes de Bordeaux,"Premieres Côtes de Bordeaux, Bordeaux, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1368,France,Bordeaux,Canon-Fronsac,"Bordeaux, Canon-Fronsac, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1369,France,Bordeaux,Côtes de Castillon,"Bordeaux, Côtes de Castillon, France","Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.841225,-0.5800364
1370,France,France Other,Crémant de Jura,"France Other, Crémant de Jura, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1371,France,France Other,Vin de Savoie,"France Other, Vin de Savoie, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1372,France,France Other,Roussette de Savoie,"France Other, Roussette de Savoie, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1373,France,France Other,Vin de Liqueur,"France Other, Vin de Liqueur, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1374,France,France Other,Vin de Table Francais,"France Other, Vin de Table Francais, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1375,France,France Other,Chignin-Bergeron,"France Other, Chignin-Bergeron, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1376,France,France Other,Vin de Pays des Portes de Méditerranée,"France Other, Vin de Pays des Portes de Méditerranée, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1377,France,France Other,Vin de Pays de la Méditerranée,"France Other, Vin de Pays de la Méditerranée, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1378,France,France Other,Vin de Pays de l'Ile de Beauté,"France Other, Vin de Pays de l'Ile de Beauté, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1379,France,France Other,Vin Mousseux,"France Other, Vin Mousseux, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1380,France,France Other,Vin de Pays de France,"France Other, Vin de Pays de France, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
1381,US,Michigan,Leelanau Peninsula,"US, Michigan, Leelanau Peninsula","Michigan, USA",43.6211955,-84.6824346
1382,US,Virginia,Virginia's Eastern Shore,"US, Virginia, Virginia's Eastern Shore","Virginia, USA",37.1232245,-78.4927721
1383,Italy,Lombardy,Oltrepò Pavese,"Oltrepò Pavese, Italy, Lombardy","LOM, Italia",45.6209,9.768892999999998
1384,Italy,Lombardy,Sforzato di Valtellina,"Sforzato di Valtellina, Italy, Lombardy","LOM, Italia",45.6209,9.768892999999998
1385,Italy,Lombardy,Terrazze Retiche di Sondrio,"Italy, Terrazze Retiche di Sondrio, Lombardy","LOM, Italia",45.6209,9.768892999999998
1386,Italy,Lombardy,Curtefranca,"Curtefranca, Italy, Lombardy","LOM, Italia",45.6209,9.768892999999998
1387,Italy,Lombardy,Montenetto di Brescia,"Montenetto di Brescia, Italy, Lombardy","LOM, Italia",45.6209,9.768892999999998
1388,France,Languedoc-Roussillon,Côtes du Roussillon Villages Caramany,"Languedoc-Roussillon, Côtes du Roussillon Villages Caramany, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1389,France,Languedoc-Roussillon,Crémant de Limoux,"Crémant de Limoux, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1390,France,Languedoc-Roussillon,Picpoul de Pinet,"Languedoc-Roussillon, Picpoul de Pinet, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1391,France,Languedoc-Roussillon,Minervois La Liviniere,"Minervois La Liviniere, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1392,France,Languedoc-Roussillon,Vin de Pays d'Oc,"Languedoc-Roussillon, Vin de Pays d'Oc, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1393,France,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,"Coteaux du Languedoc Pic Saint Loup, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1394,France,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel,"Côtes du Roussillon Villages Tautavel, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1395,France,Languedoc-Roussillon,Côtes du Roussillon Villages,"Côtes du Roussillon Villages, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1396,France,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,"Languedoc-Roussillon, Vin de Pays des Côtes Catalanes, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1397,France,Languedoc-Roussillon,Muscat de Rivesaltes,"Languedoc-Roussillon, Muscat de Rivesaltes, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1398,France,Languedoc-Roussillon,Côtes du Roussillon Les Aspres,"Languedoc-Roussillon, Côtes du Roussillon Les Aspres, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1399,France,Languedoc-Roussillon,Sable de Camargue,"Sable de Camargue, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1400,France,Languedoc-Roussillon,Côtes Catalanes,"Languedoc-Roussillon, Côtes Catalanes, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1401,France,Languedoc-Roussillon,Vin de Pays Cité de Carcassonne,"Languedoc-Roussillon, Vin de Pays Cité de Carcassonne, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1402,France,Languedoc-Roussillon,Corbières-Boutenac,"Languedoc-Roussillon, Corbières-Boutenac, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1403,France,Languedoc-Roussillon,Vin de Pays du Val de Cesse,"Languedoc-Roussillon, Vin de Pays du Val de Cesse, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1404,France,Languedoc-Roussillon,Vin de Pays de L'Aude,"Vin de Pays de L'Aude, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1405,France,Languedoc-Roussillon,Côtes de Thongue,"Côtes de Thongue, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1406,France,Languedoc-Roussillon,Blanquette de Limoux,"Languedoc-Roussillon, Blanquette de Limoux, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1407,France,Languedoc-Roussillon,Aude Hauterive,"Aude Hauterive, Languedoc-Roussillon, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1408,France,Languedoc-Roussillon,Vin de Pays de la Haute Vallée du Gassac,"Languedoc-Roussillon, Vin de Pays de la Haute Vallée du Gassac, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
1409,France,Languedoc-Roussillon,Côtes de Thau,"Languedoc-Roussillon, Côtes de Thau, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
